Camera Localization Data
 time | pose.x | pose.y | pose.z | cov[1,1] | cov[1,2] | cov[1,3] | cov[2,1] | cov[2,2] | cov[2,3] | cov[3,1] | cov[3,2] | cov[3,3]
4531 | -165.265 | -79.1556 | -1.51641 | 5.26472 | 4.54127 | -0.015962 | 4.54127 | 10.8304 | -0.0285029 | -0.015962 | -0.0285029 | 0.00190018 | -46267 | 46543 | 
4594 | -165.125 | -78.2385 | -1.51666 | 3.63014 | 4.51663 | -0.0158714 | 4.51663 | 9.22865 | -0.0285101 | -0.0158714 | -0.0285101 | 0.00050018 | -51620 | 52109 | 
4656 | -165.086 | -76.989 | -1.51729 | 3.59 | 4.48118 | -0.015751 | 4.48118 | 9.22222 | -0.0285025 | -0.015751 | -0.0285025 | 0.00050018 | -56502 | 57050 | 
4719 | -164.974 | -75.8295 | -1.51805 | 3.55325 | 4.44957 | -0.0156401 | 4.44957 | 9.21994 | -0.0285021 | -0.0156401 | -0.0285021 | 0.00050018 | -61539 | 62231 | 
4781 | -164.928 | -74.5126 | -1.51914 | 3.51259 | 4.41279 | -0.0155165 | 4.41279 | 9.21187 | -0.0284918 | -0.0155165 | -0.0284918 | 0.00050018 | -66918 | 67552 | 
4953 | -165.001 | -70.1605 | -1.5196 | 3.37345 | 4.28516 | -0.0150849 | 4.28516 | 9.1861 | -0.0284593 | -0.0150849 | -0.0284593 | 0.00050018 | -84018 | 84936 | 
5031 | -165.14 | -68.7834 | -1.51936 | 3.32943 | 4.24283 | -0.014946 | 4.24283 | 9.1728 | -0.0284401 | -0.014946 | -0.0284401 | 0.00050018 | -89180 | 90350 | 
5094 | -165.184 | -67.5654 | -1.52124 | 3.29558 | 4.2089 | -0.0148385 | 4.2089 | 9.15784 | -0.028417 | -0.0148385 | -0.028417 | 0.00050018 | -95178 | 96542 | 
5156 | -165.126 | -66.3009 | -1.52227 | 3.2586 | 4.17409 | -0.0147194 | 4.17409 | 9.152 | -0.02841 | -0.0147194 | -0.02841 | 0.00050018 | -100501 | 101846 | 
5219 | -164.885 | -64.7496 | -1.52276 | 3.2119 | 4.13276 | -0.0145667 | 4.13276 | 9.15762 | -0.0284236 | -0.0145667 | -0.0284236 | 0.00050018 | -105862 | 107154 | 
5281 | -164.805 | -63.285 | -1.52291 | 3.16798 | 4.09142 | -0.0144209 | 4.09142 | 9.156 | -0.0284237 | -0.0144209 | -0.0284237 | 0.00050018 | -111168 | 112530 | 
5344 | -164.687 | -62.0239 | -1.52357 | 3.13152 | 4.05714 | -0.0142992 | 4.05714 | 9.15548 | -0.0284256 | -0.0142992 | -0.0284256 | 0.00050018 | -117394 | 118862 | 
5406 | -164.735 | -60.7172 | -1.52327 | 3.09198 | 4.01818 | -0.0141664 | 4.01818 | 9.14856 | -0.0284166 | -0.0141664 | -0.0284166 | 0.00050018 | -122798 | 124383 | 
5469 | -164.693 | -59.1343 | -1.52404 | 3.04698 | 3.97375 | -0.0140135 | 3.97375 | 9.14222 | -0.0284089 | -0.0140135 | -0.0284089 | 0.00050018 | -128427 | 130058 | 
5531 | -164.591 | -57.6092 | -1.52469 | 3.00389 | 3.93166 | -0.0138653 | 3.93166 | 9.14009 | -0.0284084 | -0.0138653 | -0.0284084 | 0.00050018 | -134345 | 136056 | 
5594 | -164.322 | -56.1501 | -1.5254 | 2.96338 | 3.89367 | -0.0137235 | 3.89367 | 9.14792 | -0.0284248 | -0.0137235 | -0.0284248 | 0.00050018 | -141472 | 143298 | 
5656 | -164.299 | -54.539 | -1.52502 | 2.91685 | 3.8467 | -0.0135592 | 3.8467 | 9.14455 | -0.028422 | -0.0135592 | -0.028422 | 0.00050018 | -147805 | 149674 | 
5719 | -164.299 | -54.539 | -1.52502 | 2.91685 | 3.8467 | -0.0135592 | 3.8467 | 9.14455 | -0.028422 | -0.0135592 | -0.028422 | 0.00050018 | -154344 | 156245 | 
5781 | -164.071 | -52.6031 | -1.52693 | 2.86629 | 3.79609 | -0.0133789 | 3.79609 | 9.14486 | -0.0284262 | -0.0133789 | -0.0284262 | 0.00050018 | -161053 | 163060 | 
5953 | -163.818 | -47.1571 | -1.52728 | 2.71859 | 3.64192 | -0.0128354 | 3.64192 | 9.13962 | -0.0284266 | -0.0128354 | -0.0284266 | 0.00050018 | -183452 | 185522 | 
6031 | -163.571 | -44.9922 | -1.52833 | 2.66363 | 3.58375 | -0.0126255 | 3.58375 | 9.14417 | -0.0284375 | -0.0126255 | -0.0284375 | 0.00050018 | -190987 | 193125 | 
6094 | -163.543 | -43.0278 | -1.52795 | 2.61213 | 3.52663 | -0.012426 | 3.52663 | 9.14039 | -0.0284337 | -0.012426 | -0.0284337 | 0.00050018 | -200020 | 202190 | 
6156 | -163.56 | -41.0389 | -1.52873 | 2.56274 | 3.47021 | -0.0122328 | 3.47021 | 9.13112 | -0.0284206 | -0.0122328 | -0.0284206 | 0.00050018 | -207822 | 210141 | 
6219 | -163.517 | -41.3762 | -1.50748 | 7.95754 | 3.44507 | -0.0121053 | 3.44507 | 14.6087 | -0.0285118 | -0.0121053 | -0.0285118 | 0.0275002 | -215815 | 218113 | 
6281 | -163.253 | -36.3313 | -1.52968 | 2.44781 | 3.33913 | -0.0117675 | 3.33913 | 9.13217 | -0.0284285 | -0.0117675 | -0.0284285 | 0.00050018 | -223801 | 226232 | 
6344 | -163.341 | -34.4336 | -1.5277 | 2.91155 | 3.27999 | -0.011563 | 3.27999 | 9.63804 | -0.0284188 | -0.011563 | -0.0284188 | 0.00190018 | -232883 | 235551 | 
6406 | -163.403 | -32.2599 | -1.52756 | 2.83175 | 3.21636 | -0.0113447 | 3.21636 | 9.59972 | -0.0284039 | -0.0113447 | -0.0284039 | 0.00190018 | -240634 | 243504 | 
6469 | -162.701 | -29.1691 | -1.53566 | 7.18287 | 3.1489 | -0.0110935 | 3.1489 | 14.0263 | -0.0284377 | -0.0110935 | -0.0284377 | 0.0275002 | -248606 | 251492 | 
6531 | -162.82 | -27.0499 | -1.53496 | 2.2411 | 3.08541 | -0.0108765 | 3.08541 | 9.12225 | -0.0284204 | -0.0108765 | -0.0284204 | 0.00050018 | -256659 | 259539 | 
