n_time      pose_x     pose_y  pose_theta    cov_11    cov_12    cov_13    cov_21     cov_22    cov_23    cov_31    cov_32    cov_33   tick_L   tick_R
  5702   16.049200  -30.37740    1.580240   2.21654 -0.140876 -0.010970 -0.140876   1.030580  0.001283 -0.010970  0.001283  0.000500       -3        1
  5825   16.040800  -30.36070    1.580180   2.21615 -0.140923 -0.010968 -0.140923   1.030590  0.001284 -0.010968  0.001284  0.000500       -3        1
  5899   16.023300  -30.36570    1.579960   2.21618 -0.141046 -0.010969 -0.141046   1.030620  0.001285 -0.010969  0.001285  0.000500       -4        1
  6129   15.972800  -30.39930    1.579580   2.21678 -0.141510 -0.010971 -0.141510   1.030730  0.001289 -0.010971  0.001289  0.000500       -4        1
  6200   15.995100  -30.39020    1.579730   2.21663 -0.141307 -0.010971 -0.141307   1.030680  0.001287 -0.010971  0.001287  0.000500       -4        1
  6324   16.010800  -30.37180    1.580100   2.21636 -0.141239 -0.010969 -0.141239   1.030660  0.001286 -0.010969  0.001286  0.000500       -4        1
  6389   16.035900  -30.40540    1.580040   2.21709 -0.140991 -0.010973 -0.140991   1.030610  0.001284 -0.010973  0.001284  0.000500       -4        1
  6449   16.067000  -30.35060    1.580370   2.21599 -0.140691 -0.010968 -0.140691   1.030530  0.001282 -0.010968  0.001282  0.000500       -4        3
  6519   16.097200  -30.33480    1.580090   2.21554 -0.140237 -0.010966 -0.140237   1.030420  0.001278 -0.010966  0.001278  0.000500       -4        4
  6638   16.072300  -30.33020    1.579910   2.21537 -0.140441 -0.010965 -0.140441   1.030470  0.001280 -0.010965  0.001280  0.000500       -3       66
  6705   16.093200  -30.36290    1.579880   2.21610 -0.140248 -0.010968 -0.140248   1.030430  0.001277 -0.010968  0.001277  0.000500       -3       66
  6708   16.068700  -30.30920    1.578410   2.21438 -0.139921 -0.010960 -0.139921   1.030350  0.001275 -0.010960  0.001275  0.000500       33      152
  6767   16.035300  -30.26230    1.577700   2.21309 -0.139972 -0.010955 -0.139972   1.030360  0.001276 -0.010955  0.001276  0.000500       86      186
  6835   16.049500  -30.24140    1.578150   2.21278 -0.139946 -0.010953 -0.139946   1.030360  0.001276 -0.010953  0.001276  0.000500      175      223
  6888   16.070400  -30.21570    1.578890   2.21247 -0.139943 -0.010952 -0.139943   1.030350  0.001277 -0.010952  0.001277  0.000500      305      274
  6951   16.073900  -30.18990    1.578880   2.21189 -0.139868 -0.010949 -0.139868   1.030330  0.001276 -0.010949  0.001276  0.000500      510      445
  7202   16.097900  -29.94730    1.579160   2.20663 -0.139374 -0.010925 -0.139374   1.030230  0.001274 -0.010925  0.001274  0.000500     2732     3256
  7263   16.265800  -29.55280    1.582840   2.19923 -0.138272 -0.010892 -0.138272   1.029970  0.001268 -0.010892  0.001268  0.000500     3714     4364
  7325   16.233500  -29.37030    1.582540   2.19508 -0.138265 -0.010873 -0.138265   1.029960  0.001270 -0.010873  0.001270  0.000500     4589     5559
  7388   16.234900  -29.10530    1.582920   2.18937 -0.138010 -0.010847 -0.138010   1.029880  0.001271 -0.010847  0.001271  0.000500     5893     6864
  7452   16.343000  -28.74000    1.584130   2.18177 -0.136732 -0.010813 -0.136732   1.029550  0.001263 -0.010813  0.001263  0.000500     7389     8290
  7515   16.231000  -28.41280    1.584450   2.17466 -0.137583 -0.010780 -0.137583   1.029730  0.001275 -0.010780  0.001275  0.000500     8655     8906
  7577   16.216400  -28.09570    1.583220   2.16730 -0.136890 -0.010747 -0.136890   1.029560  0.001272 -0.010747  0.001272  0.000500     9765     9669
  7639   16.126400  -27.65580    1.580590   2.15678 -0.136395 -0.010698 -0.136395   1.029420  0.001274 -0.010698  0.001274  0.000500    10911    10236
  7703   16.115900  -27.44870    1.579940   2.15206 -0.136019 -0.010676 -0.136019   1.029320  0.001273 -0.010676  0.001273  0.000500    11046    10492
  7768   16.358800  -27.13390    1.579460   2.14520 -0.132856 -0.010644 -0.132856   1.028630  0.001247 -0.010644  0.001247  0.000500    11210    10820
  7832   16.512100  -27.00110    1.578270   2.14194 -0.130682 -0.010629 -0.130682   1.028130  0.001228 -0.010629  0.001228  0.000500    11572    11405
  7888   16.538400  -27.06620    1.579450   2.14377 -0.130854 -0.010638 -0.130854   1.028170  0.001229 -0.010638  0.001229  0.000500    12195    12729
  7953   16.364800  -26.99880    1.581200   2.14286 -0.133148 -0.010634 -0.133148   1.028670  0.001251 -0.010634  0.001251  0.000500    13471    14797
  8138   16.427600  -26.21120    1.587270   2.12801 -0.133231 -0.010565 -0.133231   1.028660  0.001260 -0.010565  0.001260  0.000500    20698    23080
